timestamp,details-v1-bf9f794fb-zxrkg_cpu,productpage-v1-649f4b6b86-h6nsx_cpu,ratings-v1-5f7bb6dbdd-hb8rk_cpu,reviews-v1-665cdc9c56-bnc58_cpu,reviews-v2-78f7489cc8-kfj2q_cpu,reviews-v3-7778f74db8-bk7k6_cpu,details-v1-bf9f794fb-zxrkg_memory,productpage-v1-649f4b6b86-h6nsx_memory,ratings-v1-5f7bb6dbdd-hb8rk_memory,reviews-v1-665cdc9c56-bnc58_memory,reviews-v2-78f7489cc8-kfj2q_memory,reviews-v3-7778f74db8-bk7k6_memory,reviews-v3-7778f74db8-bk7k6_network,details-v1-bf9f794fb-zxrkg_network,reviews-v1-665cdc9c56-bnc58_network,ratings-v1-5f7bb6dbdd-hb8rk_network,productpage-v1-649f4b6b86-h6nsx_network,reviews-v2-78f7489cc8-kfj2q_network
2026-03-24 11:03:00,17.675740633333348,177.81970663333294,9.094486466666693,7.6779281999885525,12.759127066662284,37.72795366665681,25.66144,296.943616,27.83232,115.712,121.741312,125.87008,425.7344444444444,1678.2677777777778,707.5600000000001,343.4844444444445,26536.410000000003,1438.9377777777775
2026-03-24 11:03:05,32.56581263333326,139.63487803333314,2.5335639333333053,2.7888784333451135,9.91791579999699,11.636433700005,25.960448,297.39008,27.62752,115.712,121.757696,125.878272,1482.25,691.69,204.49,1863.3611111111115,19544.040000000005,1383.8400000000001
2026-03-24 11:03:10,32.56581263333326,139.63487803333314,2.533563933333305,2.7888784333451135,9.91791579999699,11.636433700005,25.960448,297.39008,27.62752,115.712,121.757696,125.878272,1482.25,691.69,204.49,1863.3611111111109,19544.040000000005,1383.8400000000001
2026-03-24 11:03:15,32.56581263333326,139.63487803333314,2.533563933333305,2.7888784333451135,9.91791579999699,11.636433700005,25.960448,297.39008,27.62752,115.712,121.757696,125.878272,1482.25,691.69,204.49,1863.3611111111109,19544.040000000005,1383.8400000000001
2026-03-24 11:03:20,32.56581263333326,139.63487803333314,2.533563933333305,2.7888784333451135,9.91791579999699,11.636433700005,25.960448,297.39008,27.62752,115.712,121.757696,125.878272,1482.25,691.69,204.49,1863.3611111111109,19544.040000000005,1383.8400000000001
2026-03-24 11:03:25,32.56581263333326,139.63487803333314,2.533563933333305,2.7888784333451135,9.91791579999699,11.636433700005,25.960448,297.39008,27.62752,115.712,121.757696,125.878272,1482.25,691.69,204.49,1863.3611111111109,19544.040000000005,1383.8400000000001
2026-03-24 11:03:30,32.56581263333326,139.63487803333314,2.533563933333305,2.7888784333451135,9.91791579999699,11.636433700005,25.960448,297.39008,27.62752,115.712,121.757696,125.878272,1482.25,691.69,204.49,1863.3611111111109,19544.040000000005,1383.8400000000001
2026-03-24 11:03:35,19.673243233333437,235.79954550000366,11.641747266666693,7.044296099987453,29.41997306667569,15.797098933338322,26.329088,297.148416,27.553792,115.712,121.782272,125.878272,2316.817777777778,4066.1877777777777,858.49,1444.0000000000005,77803.80444444445,2493.3377777777773
2026-03-24 11:03:40,19.673243233333437,235.79954550000366,11.641747266666691,7.044296099987453,29.41997306667569,15.797098933338322,26.329088,297.148416,27.553792,115.712,121.782272,125.878272,2316.817777777778,4066.1877777777777,858.49,1444.0,77803.80444444445,2493.3377777777773
2026-03-24 11:03:45,19.673243233333437,235.79954550000366,11.641747266666691,7.044296099987453,29.41997306667569,15.797098933338322,26.329088,297.148416,27.553792,115.712,121.782272,125.878272,2316.817777777778,4066.1877777777777,858.49,1444.0,77803.80444444445,2493.3377777777773
2026-03-24 11:03:50,19.673243233333437,235.79954550000366,11.641747266666691,7.044296099987453,29.41997306667569,15.797098933338322,26.329088,297.148416,27.553792,115.712,121.782272,125.878272,2316.817777777778,4066.1877777777777,858.49,1444.0,77803.80444444445,2493.3377777777773
2026-03-24 11:03:55,19.673243233333437,235.79954550000366,11.641747266666691,7.044296099987453,29.41997306667569,15.797098933338322,26.329088,297.148416,27.553792,115.712,121.782272,125.878272,2316.817777777778,4066.1877777777777,858.49,1444.0,77803.80444444445,2493.3377777777773
